date,eth_closing_price_usd
2025-02-16,2661.59
2025-02-17,2744.13
2025-02-18,2670.43
2025-02-19,2715.47
2025-02-20,2738.98
2025-02-21,2661.6
2025-02-22,2763.54
2025-02-23,2819.92
2025-02-24,2513.65
2025-02-25,2492.48
2025-02-26,2333.12
2025-02-27,2305.51
2025-02-28,2236.53
2025-03-01,2216.72
2025-03-02,2518.51
2025-03-03,2147.5
2025-03-04,2171.13
2025-03-05,2241.7
2025-03-06,2202.6
2025-03-07,2140.93
2025-03-08,2203.24
2025-03-09,2020.01
2025-03-10,1864.38
2025-03-11,1922.98
2025-03-12,1907.9
2025-03-13,1863.87
2025-03-14,1911.53
2025-03-15,1937.46
2025-03-16,1886.94
2025-03-17,1926.41
2025-03-18,1931.53
2025-03-19,2056.92
2025-03-20,1982.66
2025-03-21,1965.08
2025-03-22,1980.4
2025-03-23,2006.05
2025-03-24,2081.53
2025-03-25,2066.62
2025-03-26,2009.64
2025-03-27,2003.3
2025-03-28,1896.15
2025-03-29,1827.68
2025-03-30,1807.48
2025-03-31,1822.14
2025-04-01,1905.23
2025-04-02,1794.63
2025-04-03,1816.31
2025-04-04,1816.25
2025-04-05,1805.19
2025-04-06,1579.65
2025-04-07,1552.42
2025-04-08,1472.15
2025-04-09,1669
2025-04-10,1521.51
2025-04-11,1566.02
2025-04-12,1643.84
2025-04-13,1597.18
2025-04-14,1623.79
2025-04-15,1588.7
2025-04-16,1577.24
2025-04-17,1583.68
2025-04-18,1588.56
2025-04-19,1612.74
2025-04-20,1587.31
2025-04-21,1579.7
2025-04-22,1757.04
2025-04-23,1795.87
2025-04-24,1770.44
2025-04-25,1785.94
2025-04-26,1821.45
2025-04-27,1791.85
2025-04-28,1800.19
2025-04-29,1798.47
2025-04-30,1793.83
2025-05-01,1838.83
2025-05-02,1842.84
2025-05-03,1833.95
2025-05-04,1809
2025-05-05,1820.05
2025-05-06,1816.98
2025-05-07,1811.34
2025-05-08,2207.19
2025-05-09,2345.32
2025-05-10,2583.77
2025-05-11,2514.75
2025-05-12,2495.56
2025-05-13,2680.04
2025-05-14,2610.07
2025-05-15,2549
2025-05-16,2537.78
2025-05-17,2476.16
2025-05-18,2498.72
2025-05-19,2528.66
2025-05-20,2525.1
2025-05-21,2552.21
2025-05-22,2665.1
2025-05-23,2526.9
2025-05-24,2530.92
2025-05-25,2552.23
2025-05-26,2564.47
2025-05-27,2662
2025-05-28,2682.1
2025-05-29,2631.82
2025-05-30,2531.79
2025-05-31,2529.32
2025-06-01,2540.45
2025-06-02,2609.07
2025-06-03,2594.88
2025-06-04,2608.28
2025-06-05,2415.85
2025-06-06,2478.31
2025-06-07,2526.17
