replicate_index,lower_5th_pct,upper_95th_pct
0,-3.63888441,4.178143611499991
1,-4.08357042,3.8612534449999987
2,-3.97383532,4.45891704
3,-4.4513003405,4.03133166
4,-4.12087365,4.239364053999997
5,-4.3809404585,4.179213612499991
6,-4.17219973,4.03133166
7,-4.3809404585,4.179213612499991
8,-4.14178362,3.41828307
9,-4.046475812,4.447959548999994
10,-4.08357042,3.842742167499996
11,-3.97383532,4.29417281
12,-4.3198314,3.97531125
13,-4.12087365,4.0029035079999975
14,-4.25187735,4.2931482065
15,-3.6100003414999997,3.8612534449999987
16,-4.104241383,4.08871342
17,-4.200618171,4.447959548999994
18,-5.30107978,4.281115331999996
19,-4.1664098,4.0957893279999995
20,-4.20563319,3.9564269249999886
21,-3.6215450414999992,4.19392541
22,-4.245009564,4.179213612499991
23,-4.1568861755,4.03133166
24,-4.1713312405,4.20272256
25,-4.20609211,4.201402987499999
26,-3.36092763,4.57620199
27,-4.244940725999999,3.76554929
28,-3.7468867415,3.842742167499996
29,-4.104241383,4.080106155999995
30,-4.087781117999999,4.201402987499999
31,-4.1198388045,3.77150516
32,-4.080259692,4.223275251999986
33,-4.1652511265,4.027797820499998
34,-4.08357042,4.085844046999994
35,-3.959642384,3.9685304384999958
36,-4.1652511265,4.09546388
37,-4.5599692575,4.339927459999996
38,-4.17219973,4.2931482065
39,-4.706561132999998,4.281115331999996
40,-3.97383532,4.00777273
41,-4.1198388045,3.93010584
42,-4.206023272,4.09546388
43,-5.013969083499998,4.20272256
44,-4.14178362,4.027797820499998
45,-4.201008253,3.9685304384999958
46,-4.200618171,4.533892428999993
47,-3.8530523519999993,4.286921418499996
48,-4.1713312405,4.239364053999997
49,-4.316910081,4.09546388
50,-4.718235715499999,4.651090173499998
51,-4.15868531,4.3858671
52,-4.206023272,3.949753342499984
53,-4.206023272,4.080106155999995
54,-4.378019139499999,4.076572316499993
55,-3.959642384,4.179156180499991
56,-4.39172441,4.29417281
57,-4.49381329,4.281115331999996
58,-3.728885940499999,4.027797820499998
59,-4.2589469835,3.97531125
60,-4.1713312405,3.801411167999998
61,-4.46181374,4.09584676
62,-4.1652511265,4.508156190999976
63,-4.206023272,4.09546388
64,-4.1198388045,4.03133166
65,-4.378019139499999,4.0957893279999995
66,-4.25187735,4.372112956499992
67,-4.1568861755,4.0029035079999975
68,-3.9669688195,3.78149832
69,-4.1652511265,4.238044481499996
70,-4.1997496815,3.9685304384999958
71,-4.74410487,4.238044481499996
72,-3.72670299,4.339927459999996
73,-4.104241383,4.533892428999993
74,-4.3809404585,4.34800181
75,-4.104241383,4.027797820499998
76,-3.63888441,4.281115331999996
77,-3.971961769,3.977345600499982
78,-4.490680525,4.094776758999999
79,-4.2683553,4.080106155999995
80,-4.4712610225,4.2458302
81,-4.0614989,3.84941575
82,-4.94262804,4.20272256
83,-4.1568861755,4.447959548999994
84,-4.20609211,3.66811535
85,-4.440516388999999,4.09584676
86,-4.1713312405,4.2931482065
87,-4.08357042,4.238044481499996
88,-4.1152781654999995,4.281115331999996
89,-4.20563319,3.97531125
90,-4.12087365,4.094451310999999
91,-3.7468867415,3.9113287439999884
92,-4.30035594,3.8510658304999925
93,-4.1428184654999995,4.239364053999997
94,-4.08357042,4.281115331999996
95,-3.694459129499999,4.094776758999999
96,-4.74410487,4.2233326839999865
97,-4.12087365,3.8545798624999947
98,-4.295555844,4.20272256
99,-4.2683553,4.0029035079999975
