date,eth,bnb,ratio
2024-05-25,3749.23,602.33,6.224544684807331
2024-05-26,3824.34,600.03,6.373581320933954
2024-05-27,3891.26,603.39,6.4489965030908705
2024-05-28,3840.39,601.17,6.388193023603972
2024-05-29,3762.22,594.95,6.323590217665349
2024-05-30,3746.97,594.95,6.297957811580805
2024-05-31,3758.65,593.24,6.335800013485267
2024-06-01,3812.81,601.3,6.340944619990022
2024-06-02,3779.06,602.67,6.270529477159972
2024-06-03,3766.32,626.21,6.014467989971415
2024-06-04,3810.73,685.8,5.556620005832604
2024-06-05,3866.46,698.87,5.532445233019017
2024-06-06,3812.05,710.55,5.36492857645486
2024-06-07,3676.79,683.67,5.37801863472143
2024-06-08,3680.84,682.57,5.392619072036568
2024-06-09,3706.0,672.93,5.507259298886957
2024-06-10,3665.99,624.92,5.866334890866031
2024-06-11,3497.32,602.51,5.804584156279565
2024-06-12,3559.25,619.27,5.7474930159704165
2024-06-13,3467.79,599.35,5.785918077917744
2024-06-14,3479.74,602.97,5.771000215599448
2024-06-15,3566.61,607.75,5.86854792266557
2024-06-16,3622.37,610.35,5.934906201359875
2024-06-17,3510.08,604.25,5.808986346710799
2024-06-18,3482.27,588.51,5.917095716300488
2024-06-19,3558.97,598.98,5.941717586563825
2024-06-20,3510.94,587.46,5.976474994042147
2024-06-21,3517.28,586.11,6.001057821910563
2024-06-22,3494.25,590.91,5.913337056404529
2024-06-23,3418.62,577.35,5.921226292543517
2024-06-24,3350.54,567.93,5.8995650872466685
2024-06-25,3393.91,578.17,5.870090111904803
2024-06-26,3369.46,572.78,5.882642550368379
2024-06-27,3445.8,581.05,5.9302985973668365
2024-06-28,3373.8,566.38,5.956778134821145
2024-06-29,3373.52,569.53,5.923340298140572
2024-06-30,3432.82,581.47,5.903692365900218
2024-07-01,3438.83,576.25,5.967600867678959
2024-07-02,3416.41,579.19,5.898599768642414
2024-07-03,3292.16,556.09,5.920192774550881
2024-07-04,3058.81,513.37,5.958295186707443
2024-07-05,2982.07,497.75,5.991099949773983
2024-07-06,3067.54,526.28,5.828722353120012
2024-07-07,2931.2,490.68,5.973750713295834
2024-07-08,3018.49,510.44,5.913505994827991
2024-07-09,3066.44,517.03,5.930874417345223
2024-07-10,3100.44,524.55,5.910666285387475
2024-07-11,3099.49,524.97,5.904127854925043
2024-07-12,3134.62,533.96,5.870514645291782
2024-07-13,3176.67,532.55,5.965017369261103
2024-07-14,3246.12,544.94,5.956839285058905
2024-07-15,3485.5,585.42,5.9538451026613375
2024-07-16,3446.19,576.55,5.977261295637846
2024-07-17,3387.66,568.86,5.955173504904545
2024-07-18,3425.94,571.87,5.9907671323902285
2024-07-19,3506.0,593.84,5.903947191162603
2024-07-20,3518.85,593.46,5.929380244666868
2024-07-21,3536.46,602.48,5.8698380029212585
2024-07-22,3441.05,587.5,5.857106382978723
2024-07-23,3483.07,582.05,5.984142255819948
2024-07-24,3335.15,574.65,5.803793613503872
2024-07-25,3174.48,570.7,5.5624321009286835
2024-07-26,3274.89,581.1,5.635673722250903
2024-07-27,3249.36,581.74,5.585588063396019
2024-07-28,3270.15,583.9,5.600530912827539
2024-07-29,3317.94,574.27,5.777665558012782
2024-07-30,3278.41,588.08,5.574768738947081
2024-07-31,3231.84,576.2,5.608885803540437
2024-08-01,3200.67,574.77,5.568610052716739
2024-08-02,2985.72,542.3,5.505661073206713
2024-08-03,2902.09,529.43,5.481536747067602
2024-08-04,2688.08,496.6,5.412968183648812
2024-08-05,2420.39,464.57,5.209957595195557
2024-08-06,2462.39,485.07,5.0763601129733855
2024-08-07,2343.5,474.84,4.935346643079774
2024-08-08,2683.62,517.24,5.188345835588895
2024-08-09,2600.21,509.05,5.107965818681858
2024-08-10,2610.64,523.3,4.988801834511753
2024-08-11,2555.67,503.57,5.0751037591596
2024-08-12,2723.07,518.28,5.2540518638573745
2024-08-13,2703.6,524.33,5.156294699902732
2024-08-14,2661.98,523.47,5.0852579899516686
2024-08-15,2570.39,519.18,4.950864825301437
2024-08-16,2593.7,519.85,4.989323843416369
2024-08-17,2614.92,541.85,4.825911230045215
2024-08-18,2612.58,531.66,4.914005191287665
2024-08-19,2637.47,558.67,4.720980185082428
2024-08-20,2573.25,569.56,4.517961233232671
2024-08-21,2631.39,570.17,4.615097251696862
2024-08-22,2623.57,583.04,4.499811333699232
2024-08-23,2764.81,592.04,4.669971623538951
