replicate_index,upper_95th_pct
25,2.6239055254999943
88,2.72177082
46,2.7248389035
91,2.81699503
63,2.83911094
79,2.883485702999999
31,2.883485702999999
7,2.956435634499997
29,2.96126167
1,2.96611296
92,2.96696907
89,3.097010603999986
56,3.097010603999986
33,3.097475987499986
69,3.097475987499986
62,3.1204244935
50,3.12050662
74,3.12050662
84,3.1231627154999835
73,3.146193347999997
15,3.1507263
42,3.1507263
80,3.1507263
10,3.1779709894999937
52,3.1825860679999964
0,3.1825860679999964
57,3.1825860679999964
32,3.18820838
76,3.204723667999991
65,3.209256619999994
43,3.209256619999994
8,3.2233564315
90,3.2233564315
27,3.2247912995
99,3.225456758
49,3.22570997
40,3.248192039499997
39,3.248445251499997
20,3.248445251499997
61,3.248445251499997
23,3.25245736
71,3.254766419
3,3.254766419
37,3.254766419
97,3.2551739
11,3.2551739
35,3.2907807144999963
70,3.314593386499998
19,3.314593386499998
55,3.314593386499998
47,3.314593386499998
36,3.314593386499998
4,3.314593386499998
45,3.31768676
82,3.31768676
6,3.31768676
81,3.31768676
94,3.323214555499993
22,3.329498110999997
53,3.329498110999997
17,3.332591484499998
83,3.332591484499998
98,3.33522173
77,3.33522173
59,3.365791804499995
26,3.3684220499999964
78,3.3684220499999964
64,3.37428093
13,3.37428093
44,3.37428093
9,3.3750663895
30,3.3750663895
86,3.3750663895
38,3.375205
87,3.375205
93,3.375205
28,3.410978200999996
34,3.411116811499996
58,3.411116811499996
48,3.424917614999999
68,3.424917614999999
67,3.424917614999999
16,3.424917614999999
2,3.42623469
72,3.4347125644999994
51,3.4347125644999994
95,3.4347125644999994
75,3.4347125644999994
18,3.4398529054999987
60,3.4398529054999987
14,3.4737601204999966
24,3.47931965
21,3.47931965
41,3.47931965
54,3.47931965
96,3.5256614359999903
12,3.54144722
66,3.585121288499983
5,3.691360992499992
85,3.70516115
